,canon_smiles,anchors,canon_anchors,local_to_canon
515,[CH]1[CH][NH2+][CH]CC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
516,[C]1[CH][CH]N[CH]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 1: 1, 0: 0, 4: 4, 3: 3}"
517,[CH]1C=CC=CN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 0: 0}"
518,[CH]1CCN1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 0], [0, 3]]","[[0, 1], [2], [1, 2], [2, 1], [0, 3], [3, 0], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 1: 1, 0: 0, 3: 3}"
519,[C]1[CH][CH][NH2+]CC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{3: 3, 4: 4, 5: 5, 0: 0, 1: 1, 2: 2}"
520,[CH]1[CH][CH][CH][CH][CH]1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0], [0, 1]]","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
521,[C]1CNCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 0: 0}"
522,[C]1[C]C[C][CH]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
523,[C]1[C][CH]CC[C]1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{3: 3, 4: 4, 5: 5, 0: 0, 1: 1, 2: 2}"
524,[CH]1CC=CSN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
525,C1=CCCCCCC1,"[[0], [1], [2], [3], [4], [5], [6], [7], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 7], [7, 6], [7, 0], [0, 7]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4], [2, 3], [4, 5], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 4, 5: 4, 6: 3, 7: 2, 0: 0, 1: 0}"
526,[CH]1CS[CH][NH2+]1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
527,[CH]1CC[CH]CNC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[0, 1], [1, 2], [3, 4], [5], [4, 3], [5, 4], [4], [1], [1, 0], [4, 5], [0]]","{4: 4, 3: 0, 2: 1, 1: 1, 0: 0, 6: 4, 5: 5}"
528,[CH]1CN[CH]CNC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0, 6: 6, 5: 5}"
529,[CH]1[CH]N[CH]C1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 4: 4, 0: 0, 1: 1, 2: 2}"
530,[CH]1C=CN=CC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
531,C1C[NH2+]CN1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
532,C1=NN=CC1,"[[0], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [4], [1, 0], [0]]","{1: 1, 0: 0, 4: 4, 3: 0, 2: 1}"
533,[C]1[CH]C[NH+]CC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
534,[N+]=[N-],"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
535,[N+]=N,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
536,C1=NC=NCN1,"[[0], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
537,c1cnnnc1,"[[0], [1], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{3: 3, 4: 2, 5: 1, 0: 0, 1: 1, 2: 2}"
538,[CH]1CNCCS1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 0: 0, 5: 5, 4: 4, 3: 3, 2: 2}"
539,[CH]1CC=CCNC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{4: 4, 5: 5, 6: 6, 0: 0, 1: 1, 2: 2, 3: 3}"
540,[CH]1CC=NNC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{3: 3, 4: 4, 5: 5, 0: 0, 1: 1, 2: 2}"
541,[C]1C[C]CCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [3, 4], [4, 3], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 2: 0, 1: 1, 0: 0, 5: 3, 4: 4}"
542,[CH]1CC[CH][NH+]C1,"[[0], [1], [2], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
543,[CH]1[CH]SCCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
544,[C]1C=COC=C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
545,[CH]1[CH]C=NC=C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
546,[CH]1C=CCC=CN1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{0: 0, 6: 6, 5: 5, 4: 4, 3: 3, 2: 2, 1: 1}"
547,[CH]1CCNC[CH][NH+]1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [0, 6], [2, 3], [6, 0]]","{4: 4, 5: 5, 6: 6, 0: 0, 1: 1, 2: 2, 3: 3}"
548,[CH]1[CH]COCC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
549,[C]1[CH][C]CC[CH]1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{3: 3, 4: 4, 5: 5, 0: 0, 1: 1, 2: 2}"
550,C1=CNCN=C1,"[[0], [1], [2], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
551,[C]1[CH]CCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0, 5: 5}"
552,[CH]1[CH][NH+][CH]CC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{2: 2, 1: 1, 0: 0, 5: 5, 4: 4, 3: 3}"
553,[CH]1CO[CH]N1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
554,[CH]1COCC[NH+]1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
555,[C]1CC=NN1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{2: 2, 3: 3, 4: 4, 0: 0, 1: 1}"
556,[C]1CNCO1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 2: 2, 1: 1, 0: 0, 4: 4}"
557,[C]1CCCNCC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{1: 1, 0: 0, 6: 6, 5: 5, 4: 4, 3: 3, 2: 2}"
558,[CH]1C[CH]SC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 1: 1, 0: 0, 4: 4, 3: 3}"
559,C1=NCNC1,"[[0], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
560,C1=C=[NH+]C[NH+]=1,"[[3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2, 1], [2, 3], [3, 2], [3]]","{2: 2, 3: 3, 4: 2, 0: 0, 1: 0}"
561,[CH]1C=N[CH]O1,"[[0], [1], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 4, 0: 0, 1: 1}"
562,[C]1CC=CCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 0: 0}"
563,[CH]1[CH]CO[CH]C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
564,C1CC[N+]CC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 2, 5: 1, 0: 0, 1: 1}"
565,[CH]1CN=CSC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 0: 0, 5: 5, 4: 4, 3: 3, 2: 2}"
566,[CH]1[CH]COC=C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
567,[C]1CCC[NH2+]C1,"[[0], [1], [2], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 0: 0}"
568,[CH]1[CH]CCN[CH]1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 0: 0, 5: 5, 4: 4, 3: 3, 2: 2}"
569,C1=COCCC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
570,C1C[NH+]CCOC1,"[[0], [1], [3], [4], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[3, 4], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 0: 0}"
571,C1=C[NH+]C=CC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [5], [5, 4], [1], [1, 0], [4, 5], [0]]","{2: 2, 3: 1, 4: 0, 5: 5, 0: 0, 1: 1}"
572,[CH]1CC[CH]N1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [4], [1], [1, 0], [0]]","{4: 4, 0: 0, 1: 1, 2: 1, 3: 0}"
573,[C]1CCOCC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{2: 2, 3: 3, 4: 2, 5: 1, 0: 0, 1: 1}"
574,[C]1NN=CS1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
575,C1=CON=[N+]1,"[[0], [1], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
576,[CH]1[CH]C[NH+]CCC1,"[[0], [1], [2], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [6], [0, 6], [2, 3], [6, 0]]","{2: 2, 1: 1, 0: 0, 6: 6, 5: 5, 4: 4, 3: 3}"
577,[CH]1NC=CS1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
578,[C]1[CH]C[C]CC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
